BUSINESS_NAME,BUSINESS_TYPE,Latitude,Longitude
& Cafe,Restaurant/Cafe/Canteen,51.470860455950245,-2.591888999727693
1 York Place,Restaurant/Cafe/Canteen,51.454376712168624,-2.6114375196182555
11am to 7pm,Restaurant/Cafe/Canteen,51.469260335450386,-2.5919831251220833
1b Pitville,Restaurant/Cafe/Canteen,51.463151254254946,-2.6066605501986353
2 Mile Deli,Restaurant/Cafe/Canteen,51.46264131984079,-2.5155027421829312
25a Old Market,Restaurant/Cafe/Canteen,51.45567296752533,-2.581011661139489
30 mins,Pub/bar/nightclub,51.45325512883265,-2.5934310275238737
3ft6,Restaurant/Cafe/Canteen,51.45487833399927,-2.5574141982881438
4500 Miles From Delhi,Restaurant/Cafe/Canteen,51.453613209208655,-2.595296912831347
808 CAFE BAR LTD,Restaurant/Cafe/Canteen,51.45645786380106,-2.5964710042382357
A Cappella,Restaurant/Cafe/Canteen,51.4393520275008,-2.5717829885885513
A Taste of China,Takeaway/sandwich shop,51.4089738930461,-2.6197470293119354
A.P.E. Project CIC,Restaurant/Cafe/Canteen,51.464587662507135,-2.576425685411927
Aardman Animations Limited,Restaurant/Cafe/Canteen,51.44693899523566,-2.6064744310402617
Ababo's Cuisine,Restaurant/Cafe/Canteen,51.461412970603504,-2.561967884744949
Abbie's Kitchen Ltd,Restaurant/Cafe/Canteen,51.4528550666647,-2.5423316541209933
Abbott's Kitchen,Restaurant/Cafe/Canteen,51.404207240623634,-2.570152247606337
abm @ costain ltd,Restaurant/Cafe/Canteen,51.510655939143234,-2.7085584151654913
ACHARI Indian Kitchen,Restaurant/Cafe/Canteen,51.46350227732094,-2.606492515507676
Acta Theatre Bar,Restaurant/Cafe/Canteen,51.43897176307232,-2.6045974816583826
Adelina Yard,Restaurant/Cafe/Canteen,51.449974802873456,-2.59120178903666
Advanced Retreat Private Members Club,Restaurant/Cafe/Canteen,51.46175553206684,-2.5873697892584193
Afghan Restaurant,Restaurant/Cafe/Canteen,51.46890978130008,-2.56449300235301
Afghan Tasty Corner,Restaurant/Cafe/Canteen,51.465645491103636,-2.5681963753828714
African Palace,Restaurant/Cafe/Canteen,51.46890978130008,-2.56449300235301
African Taste,Restaurant/Cafe/Canteen,51.46564686252491,-2.565910184067372
Afro Lounge,Takeaway/sandwich shop,51.460204416203936,-2.5771515391612807
Agnes Spencer's Amazing Jamaican Cuisine,Restaurant/Cafe/Canteen,51.4549407218092,-2.610207396650126
Ah Ma's Dumplings Ltd,Restaurant/Cafe/Canteen,51.46957441443179,-2.575605810648178
Ahh toots cakery and biscuiter Ltd,Restaurant/Cafe/Canteen,51.455646263443384,-2.5951506149007817
Al Waha,Restaurant/Cafe/Canteen,51.4400971740911,-2.5739651264973373
"ALADDINS Kabab,pizza and Indian",Restaurant/Cafe/Canteen,51.46597376372737,-2.563365864238492
Alfresco,Restaurant/Cafe/Canteen,51.48843340058677,-2.6231138392606628
Ali Baba's 40 Dishes,Takeaway/sandwich shop,51.438601596446475,-2.601384076789772
Ali mahal,Takeaway/sandwich shop,51.48786942089447,-2.673160236048477
Alibaba,Takeaway/sandwich shop,51.463619309736664,-2.5687184589501553
Ali's Curry Palace,Restaurant/Cafe/Canteen,51.441959672861884,-2.6163652828203814
All in One Bar Restaurant,Restaurant/Cafe/Canteen,51.45383837820304,-2.6007217642494598
Allspice Takeaway,Takeaway/sandwich shop,51.44188116259062,-2.561928899794972
Alma Tavern and Theatre,Pub/bar/nightclub,51.461049225457515,-2.613009081022522
Aloha Poke,Takeaway/sandwich shop,51.47154565867702,-2.568180152509026
Alu's Chinese Bites,Takeaway/sandwich shop,51.460204416203936,-2.5771515391612807
Alwaha Grill,Takeaway/sandwich shop,51.46616548001361,-2.5629909282940635
Ambition Lawrence Weston,Restaurant/Cafe/Canteen,51.50218306364651,-2.6549706491256746
Amex/Kiko's,Takeaway/sandwich shop,51.47768935877987,-2.533020235526809
Amics,Restaurant/Cafe/Canteen,51.4617285863086,-2.570943562283274
Anatolia Pizza,Takeaway/sandwich shop,51.46969559765964,-2.5188587574830494
Anaya,Restaurant/Cafe/Canteen,51.45669142577213,-2.576724894370646
