X,Y,OBJECTID,BUSINESS_NAME,ADDRESS,BUSINESS_TYPE,RATING,RATING_STATUS,NEW_RATING_PENDING,RATING_DATE,POSTCODE,RATING_GRAPHIC_URL
358893.2757,174875.0134,1,& Cafe,"10-12 Gloucester Road, Bishopston, Bristol BS7 8AE",Restaurant/Cafe/Canteen,,AwaitingInspection,False,,BS7 8AE,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-AwaitingInspection.18639bc3.svg
357520.3397,173053.1349,2,1 York Place,"1 York Place, Clifton, Bristol BS8 1AH",Restaurant/Cafe/Canteen,5,,False,2025/03/25 00:00:00+00,BS8 1AH,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-5.2a3eb9e3.svg
363639.0106,172508.9987,3,1:1 Diet By Cambridge Weight Plan Hanham/St George,"35 Avalon Road, St George, Bristol BS5 8RX",Distributors/Transporters,,Exempt,False,,BS5 8RX,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-Exempt.15640a43.svg
358885.3005,174697.129799999,4,11am to 7pm,"206 Cheltenham Road, Montpelier, Bristol BS6 5QU",Restaurant/Cafe/Canteen,,AwaitingInspection,False,,BS6 5QU,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-AwaitingInspection.18639bc3.svg
357702.3592,175286.115,5,11Eleven,"38 Coldharbour Road, Westbury Park, Bristol BS6 7NA",Retailers - other,4,,False,2025/06/16 00:00:00+00,BS6 7NA,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-4.3b1ea406.svg
358899.2932,169766.1459,6,11Eleven,"69-71 Leinster Avenue, Knowle, Bristol BS4 1NL",Retailers - supermarkets/hypermarkets,4,,False,2024/07/30 00:00:00+00,BS4 1NL,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-4.3b1ea406.svg
360853.2894,172972.127,7,11Eleven,"127-129 Queen Ann Road, St Philips, Bristol BS5 9TJ",Retailers - other,4,,False,2024/01/09 00:00:00+00,BS5 9TJ,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-4.3b1ea406.svg
363538.1963,176021.166300001,8,11Eleven,"3 Straits Parade, Fishponds, Bristol BS16 2LA",Retailers - other,4,,False,2025/01/16 00:00:00+00,BS16 2LA,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-4.3b1ea406.svg
364176.0134,175992.999700001,9,11Eleven Superstore,"115 Staple Hill Road, Fishponds, Bristol BS16 5AD",Retailers - other,5,,False,2023/02/11 00:00:00+00,BS16 5AD,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-5.2a3eb9e3.svg
358222.3537,173038.068700001,10,168 Oriental,"52 Park Street, City Centre, Bristol BS1 5JN",Retailers - other,5,,False,2025/02/25 00:00:00+00,BS1 5JN,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-5.2a3eb9e3.svg
358803.0054,173227.7565,11,168 Oriental,"Little Chinatown 1st Floor, Nelson Street, City Centre, Bristol BS1 2BJ",Retailers - other,3,,False,2025/11/24 00:00:00+00,BS1 2BJ,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-3.56a22302.svg
357860.2983,174026.1217,12,1b Pitville,"1b Pitville Place, Cotham, Bristol BS6 6JZ",Restaurant/Cafe/Canteen,5,,False,2025/09/23 00:00:00+00,BS6 6JZ,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-5.2a3eb9e3.svg
360770.0147,168038.001499999,13,1st choice sweets,"39 Eastcote Park, Whitchurch, Bristol BS14 9PQ",Mobile caterer,5,,False,2025/09/30 00:00:00+00,BS14 9PQ,https://ratings.food.gov.uk/_next/static/media/fhrs-badge-5.2a3eb9e3.svg
