OBJECTID,LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,IMDRank,IMDDecile,IMDpRank,IMDBrisRank,IMDBrisDecile,Income,IncomeRank,IncomeDecile,Employment,EmploymentRank,EmploymentDecile,EducationSkillsTrainingScore,EducationSkillsTrainingRank,EducationSkillsTrainingdecile,HealthDisabilityScore,HealthDisabilityRank,HealthDisabilityDecile,CrimeScore,CrimeRank,CrimeDecile,BarriersHousingServicesScore,BarriersHousingServicesRank,BarriersHousingServicesDecile,LivingEnvironmentScore,LivingEnvironmentRank,LivingEnvironmentDecile,IDACI,IDACIRank,IDACIDecile,IDAOPI,IDAOPIRank,IDAOPIDecile,SUBCYPScore,SUBCYPRank,SUBCYPDecile,SUBSkillsScore,SUBSkillsRank,SUBSkillsDecile,SUBGeogBarriersScore,SUBGeogBarriersRank,SUBGeogBarriersDecile,SUBWiderBarriersScore,SUBWiderBarriersRank,SUBWiderBarriersDecile,SUBIndoorsScore,SUBIndoorsRank,SUBIndoorsDecile,SUBOutdoorsScore,SUBOutdoorsRank,SUBOutdoorsDecile,POP2022Total,POP2022Children,POP2022Older,POP2022WAP,ShapeSTArea,ShapeSTLength
1,E01014674,Bristol 027B,Burchells Green,22.04,13117,4,38.86,109,5,24.9,12349,4,14.1,12357,4,32.1,8117,3,0.3,12792,4,0.3,12634,4,17.9,20053,6,17.9,16838,5,42.1,11073,4,18.2,14436,5,0.9,5715,2,0.3,11233,4,24,25594,8,1.8,9051,3,0.1,13753,5,-0.2,19392,6,1749,344,311,1177,228209.82050645,3550.00741876125
2,E01014485,Bristol 058A,Mina Road,21.1,13840,5,41,117,5,22.1,14170,5,11.1,16802,5,22.6,12719,4,0.1,14928,5,0.3,11822,4,11,29186,9,48.5,2551,1,39,12412,4,27.6,9098,3,1,4753,2,0.1,31220,10,19,29232,9,0.2,14725,5,0.9,3484,2,0.9,4292,2,1975,331,263,1459,274550.01289955,3443.81458666763
3,E01014486,Bristol 058C,St Agnes,35.23,6091,2,18.04,53,2,32.8,8208,3,19,7478,3,25.5,11107,4,0.9,5723,2,1.4,1620,1,16.4,22168,7,46.8,2924,1,45.7,9648,3,49.5,2563,1,0.8,6055,2,0.2,19171,6,16,30801,10,1.9,8516,3,0.8,4490,2,1,3111,1,2759,413,264,2154,276068.717460095,4333.46928992171
4,E01014487,Bristol 020A,Cromwell Road,8.32,27085,9,80.24,215,8,7.7,29106,9,5.5,29306,9,1,32877,10,-0.8,27320,9,-0.1,18484,6,11.3,28773,9,43.8,3714,2,7.9,31608,10,12,19702,6,-1.2,31114,10,0.1,33663,10,17.4,30120,9,0.5,13850,5,0.9,2990,1,0.2,12288,4,2038,236,237,1626,193619.2204472,2890.46479213348
5,E01014488,Bristol 058B,Upper Montpelier,17.9,16452,5,48.74,141,6,21.4,14679,5,12.9,13925,5,11,21721,7,-0.1,17157,6,0.4,10430,4,10.1,30067,9,33.4,7665,3,38.1,12801,4,23.6,11157,4,0.2,13216,4,0.1,32405,10,16.9,30398,10,0.1,15315,5,0.7,5669,2,0.1,14659,5,2108,336,259,1594,188047.9322222,2754.12536009241
6,E01014489,Bristol 059A,Lower Montpelier,27.15,9802,3,29.04,84,4,25.6,11905,4,15.1,11195,4,23.4,12222,4,0.6,8322,3,1.2,2378,1,13.6,26040,8,33.5,7593,3,46.8,9188,3,52.3,2124,1,1,4303,2,0.1,31645,10,13.6,31709,10,1.3,10725,4,0.5,7390,3,0.5,7875,3,2550,288,192,2139,171652.47795916,2699.48030970355
7,E01014491,Bristol 020B,Ashley Hill,10.1,24861,8,73.65,196,8,9.2,27153,9,7.1,25328,8,4.4,28956,9,-0.6,25721,8,0.1,15131,5,10.8,29341,9,42,4267,2,12.9,28376,9,10.6,21291,7,-0.4,23085,7,0.1,33511,10,20.5,28263,9,0.1,15456,5,0.9,3332,1,0.1,12958,4,2007,351,262,1454,318834.17141395,3950.41206315635
8,E01014492,Bristol 008A,Shirehampton Centre,37.66,5237,2,15.51,42,2,36.4,6640,2,21.5,5632,2,60.3,1541,1,0.8,6216,2,0.8,5856,2,20.2,16729,5,18.8,16161,5,52.1,7246,3,25.5,10152,4,2.1,209,1,0.3,9051,3,30,19869,6,1.6,9483,3,0.1,14228,5,0,15696,5,1670,313,476,987,570178.089392925,7008.6994370654
9,E01014493,Bristol 008B,Barrow Hill,33.66,6691,2,19.82,60,3,30.8,9121,3,19.4,7124,3,47.6,3707,2,1,4993,2,0.9,4822,2,16.4,22176,7,24.6,12317,4,38.3,12746,4,35.2,6182,2,1.3,2387,1,0.3,6168,2,30.4,19404,6,0.5,13664,5,0.1,13512,5,0.5,7378,3,1630,371,297,1053,267838.074670775,4362.3601174176
10,E01014494,Bristol 008C,Shirehampton Portway,11.69,22941,7,67.96,183,7,11.9,23495,7,7.9,23307,7,14.8,18322,6,-0.4,22300,7,0,16065,5,16.4,22264,7,27.4,10744,4,21,22271,7,8.6,23916,8,-0.1,17601,6,0.2,17491,6,33,16752,5,0,15920,5,0.5,7623,3,-0.2,18441,6,1565,256,428,1010,833050.18425926,6329.91613093878
